fold,train_start,train_end,test_start,test_end,train_n,test_n,thr_train_p90,base_rate,selected_rate,selected_n,auc,p_at_10,lift_p10,ic
11,1998-10-16,2004-07-23,2004-07-26,2005-01-21,35836,3528,0.3981297170365597,0.3149092970521542,0.125,441,0.5386180322624733,0.4421768707482993,1.404140414041404,0.1207690082954035
12,1998-10-16,2004-10-21,2004-10-22,2005-04-22,37600,3528,0.3965588392668433,0.3115079365079365,0.16723356009070295,590,0.490709020626184,0.3576271186440678,1.1480513872395552,-0.006488728553616013
13,1998-10-16,2005-01-21,2005-01-24,2005-07-22,39364,3563,0.3908214950771256,0.3567218635980915,0.11619421835531855,414,0.49820845742657727,0.3647342995169082,1.0224612975442517,0.02061432601893728
14,1998-10-16,2005-04-22,2005-04-25,2005-10-20,41128,3626,0.3893160914332363,0.3353557639271925,0.1321014892443464,479,0.570883210034942,0.5448851774530271,1.6247974123722666,0.12356035887703387
15,1998-10-16,2005-07-22,2005-07-25,2006-01-23,42927,3654,0.3879377979318119,0.32101806239737274,0.15024630541871922,549,0.5384502783816855,0.47176684881602915,1.4695959638310063,0.022519443302254187
16,1998-10-16,2005-10-20,2005-10-21,2006-04-24,44754,3654,0.38574671048015147,0.34428024083196496,0.1724137931034483,630,0.5559711668360889,0.4634920634920635,1.3462639109697934,-0.028171299759467562
17,1998-10-16,2006-01-23,2006-01-24,2006-07-24,46581,3654,0.3832253314556178,0.3798576902025178,0.13574165298303228,496,0.49578851382802025,0.37298387096774194,0.9819042251557125,-0.026365731304075372
18,1998-10-16,2006-04-24,2006-04-25,2006-10-20,48408,3654,0.3826691939282003,0.3497536945812808,0.12643678160919541,462,0.48409104082030535,0.329004329004329,0.9406743491250533,0.02788873754367455
19,1998-10-16,2006-07-24,2006-07-25,2007-01-24,50235,3654,0.3831757276128405,0.35084838533114393,0.11247947454844007,411,0.5466081796728867,0.43552311435523117,1.2413427923978275,0.14899003410402895
20,1998-10-16,2006-10-20,2006-10-23,2007-04-25,52062,3654,0.38000289067805415,0.3240284619594964,0.14258347016967707,521,0.5510954084144875,0.46641074856046066,1.4394129013850705,0.12017858329552682
